system_id,master_seed,anomaly_class,label_has_flares,label_has_transit,star_mass,star_teff,star_logg,flare_amplitude,transit_period,transit_radius_earth,drift
sys_0000,9434169,2,0,1,1.16015625,6200.694883539206,4.121971166322501,0.0,2.139803709344936,2.159201753005643,none
sys_0001,5382385,0,0,0,0.928125,5179.4618095571,4.452688342405596,0.0,0.0,0.0,none
sys_0002,7113117,1,1,0,1.0546875,5940.973936894002,4.449619810341603,4865.346607979024,0.0,0.0,none
sys_0003,9707449,1,1,0,0.94453125,5678.836391803044,4.499021384357357,715.2747433496302,0.0,0.0,none
sys_0004,4434298,1,1,0,1.1847656249999998,4826.947733875244,4.252157723589774,7939.072139811064,0.0,0.0,none
sys_0005,8854654,1,1,0,1.166015625,4664.238395333197,4.259861007438814,17536.491767996846,0.0,0.0,none
sys_0006,2871728,3,1,1,0.93046875,5868.228801519554,4.283172929816414,10457.114458823606,3.1722149520739507,2.391938026733696,none
sys_0007,4096177,3,1,1,1.0359375,5678.339416102403,4.487582509444258,1230.9256339293752,14.763524039864825,2.382656126120965,none
sys_0008,6372544,1,1,0,1.09453125,6202.600055971193,4.427589819249198,1956.730427987094,0.0,0.0,none
sys_0009,8318028,0,0,0,1.1765625,6255.661283986618,4.259154745724527,0.0,0.0,0.0,none
sys_0010,2757392,3,1,1,1.003125,5876.697191525956,4.438910899933008,4140.018715336845,91.43717101521744,1.294184057325832,none
sys_0011,2274324,1,1,0,0.94453125,5816.627757236179,4.319957369133984,10294.102070550343,0.0,0.0,none
sys_0012,2780836,2,0,1,0.922265625,5546.805964987477,4.544706751204535,0.0,8.885496267638025,0.4863473769306517,none
sys_0013,6960511,3,1,1,1.034765625,5836.800236175291,4.457726324049044,11200.149419547197,21.13494248944597,1.017661125805838,none
sys_0014,2027483,3,1,1,1.0078125,4291.086063891607,4.028735565616662,14950.671530743512,8.904043998910499,12.565804906563354,none
sys_0015,4668855,0,0,0,1.10625,6110.270219741514,4.277187047696107,0.0,0.0,0.0,none
sys_0016,8820999,3,1,1,1.1859375,6468.287046036274,4.2281680965454855,1048.3053720829066,24.43500127551434,0.8542413922597932,none
sys_0017,3890326,0,0,0,1.10625,6069.733659410199,4.189690144292338,0.0,0.0,0.0,none
sys_0018,8347407,1,1,0,1.08046875,5792.9289599579215,4.478199581129363,3540.35071927392,0.0,0.0,none
sys_0019,9358435,2,0,1,1.10390625,6220.779936562713,4.398542670404321,0.0,8.187342410236717,2.168700715628764,none
sys_0020,5644373,0,0,0,1.091015625,5940.1462834543445,4.477935634414819,0.0,0.0,0.0,none
sys_0021,8551807,0,0,0,1.14375,6336.7404201491945,4.320080439493292,0.0,0.0,0.0,none
sys_0022,5181693,2,0,1,1.166015625,6036.856205572195,4.069170980222429,0.0,56.44544335070892,0.8799357168701071,none
sys_0023,6188160,1,1,0,1.1015625,5921.3495236823655,4.3488754596563615,4048.9117351628256,0.0,0.0,none
sys_0024,3434075,1,1,0,0.95859375,5791.079260575913,4.340496357277921,16754.99724167926,0.0,0.0,none
sys_0025,4695464,1,1,0,0.9890625,5669.632278879665,4.451927285138003,1078.174899765717,0.0,0.0,none
sys_0026,1194828,2,0,1,1.08046875,5868.69605497861,4.1986648028989135,0.0,94.7990516030469,2.3257245853347315,none
sys_0027,4415655,1,1,0,1.17421875,6251.490923786878,4.260800079658105,667.0624270088275,0.0,0.0,none
sys_0028,8294760,2,0,1,1.17421875,6250.938368749648,4.2602170688628025,0.0,6.170813271667809,0.8958790984901892,none
sys_0029,4981400,3,1,1,0.9890625,5635.013220983714,4.477992689452017,3963.779089269816,11.671542328002069,0.8182651451583866,none
sys_0030,8541274,3,1,1,0.903515625,5294.692016674481,4.537523365921674,627.7331934769458,70.2229101495183,1.488278713475192,none
sys_0031,7117412,0,0,0,1.044140625,5803.1010166354745,4.463635753534953,0.0,0.0,0.0,none
sys_0032,9575691,0,0,0,1.1859375,6343.663407160753,4.144988828787003,0.0,0.0,0.0,none
sys_0033,9061387,0,0,0,0.978515625,5857.666444457239,4.2592672826474205,0.0,0.0,0.0,none
sys_0034,3940079,2,0,1,0.9609375,5641.303270616443,4.504221931710696,0.0,12.102145290566344,5.29434664659011,none
sys_0035,1818565,1,1,0,1.1765625,6117.777847167816,4.065000587956989,2764.5160162843267,0.0,0.0,none
sys_0036,6266999,2,0,1,0.997265625,5970.376942236483,4.225191270618754,0.0,61.34992278670151,0.5465310226268345,none
sys_0037,3845305,0,0,0,1.096875,6369.85762188248,4.253815745233824,0.0,0.0,0.0,none
sys_0038,5951260,3,1,1,1.044140625,5894.114457949078,4.338155384797338,6742.192634278661,7.861138039464333,0.1378792979383764,none
sys_0039,9836127,2,0,1,1.13671875,6267.675732026459,4.441802292991314,0.0,8.013741778164794,1.2701980936474957,none
sys_0040,4368568,1,1,0,0.95625,5797.357679275196,4.416721436457699,7123.887319910496,0.0,0.0,none
sys_0041,2397120,2,0,1,1.18828125,6172.961752126451,4.363638840551183,0.0,3.032193955964734,2.012781327650748,none
sys_0042,1065875,3,1,1,0.97265625,5962.35641891301,4.399819107056074,8163.283046960254,7.906007251073584,0.9151571219273492,none
sys_0043,7973935,0,0,0,0.9046875,5437.906175831334,4.485664618527446,0.0,0.0,0.0,none
sys_0044,4179625,1,1,0,1.06171875,6098.429942707911,4.226522865058536,1117.4754150014478,0.0,0.0,none
sys_0045,5103002,3,1,1,0.92109375,5528.799824950162,4.571025530355833,14873.046276809126,11.422230694538442,0.4648488058803421,none
sys_0046,9023874,0,0,0,0.91875,5742.4158496253895,4.320520956235337,0.0,0.0,0.0,none
sys_0047,6042509,0,0,0,0.95625,5836.134176656165,4.295285466431089,0.0,0.0,0.0,none
sys_0048,4193545,2,0,1,0.90703125,5373.732666131976,4.583713177878255,0.0,73.01934003271488,1.3206326874755303,none
sys_0049,9829546,2,0,1,1.156640625,6076.623364873835,4.181065471112367,0.0,61.80695293454862,0.2756351420132459,none
sys_0050,6315349,3,1,1,1.18828125,6107.79568654282,4.183220223272071,2586.470120649357,20.087552606230084,0.7684067420784725,none
sys_0051,2892617,2,0,1,1.00078125,5863.269559786864,4.259287542973586,0.0,6.80432681062881,4.568242593362759,none
sys_0052,8758101,1,1,0,1.194140625,6606.883800190749,4.2764076285883,15703.74834481432,0.0,0.0,none
sys_0053,7514644,2,0,1,0.95859375,5608.679435462266,4.52248848323994,0.0,16.0293386615021,2.607685263436258,none
sys_0054,1215176,2,0,1,1.1906249999999998,6094.874478618298,4.215253860270818,0.0,23.15049421500376,0.4610252723357418,none
sys_0055,9292860,0,0,0,1.1296875,4572.022878161783,4.162846780447427,0.0,0.0,0.0,none
sys_0056,4580512,0,0,0,1.05,4323.997481450268,4.110185914693645,0.0,0.0,0.0,none
sys_0057,4273121,1,1,0,0.90234375,5613.646365082989,4.463135499567212,3786.85210939184,0.0,0.0,none
sys_0058,7391939,1,1,0,1.081640625,6128.617436262274,4.298045253750503,4204.155510918881,0.0,0.0,none
sys_0059,1325484,2,0,1,1.081640625,6101.710800348521,4.391856974794671,0.0,20.20498273667029,1.994772477869478,none
sys_0060,4313615,3,1,1,1.08984375,5879.238031603529,4.460135167003993,905.495577609571,87.22273591654024,6.368709534886377,none
sys_0061,2581216,3,1,1,0.984375,5879.578657498243,4.459004509781521,8614.382841625029,6.267520685938779,1.027945850211523,none
sys_0062,5824108,3,1,1,1.18359375,6582.893834060988,4.242839346188753,5488.37788214807,20.01496592008993,0.7346214545473142,none
sys_0063,5081656,2,0,1,1.134375,4466.167557946352,3.804594558948271,0.0,2.287338895964365,1.6626397231206154,none
sys_0064,3180944,1,1,0,1.034765625,5805.723705577553,4.48022060763032,963.468702561666,0.0,0.0,none
sys_0065,3549864,1,1,0,1.03125,6106.936403301146,4.450403658835167,11611.58523572706,0.0,0.0,none
sys_0066,2071479,1,1,0,1.11328125,6149.880858625736,4.401229250797654,570.3959031459364,0.0,0.0,none
sys_0067,3234092,1,1,0,1.081640625,5960.10219118726,4.055721148478879,3313.5317867398494,0.0,0.0,none
sys_0068,8334673,1,1,0,0.978515625,5865.464116200599,4.34678588542304,8832.118135135084,0.0,0.0,none
sys_0069,1807635,3,1,1,1.03125,6155.311537022692,4.219172618983031,1360.720565593443,8.906592091733655,5.054777577018479,none
sys_0070,9188027,1,1,0,0.9328125,5927.565127607341,4.311168541040151,8566.934600790917,0.0,0.0,none
sys_0071,7765653,2,0,1,1.1847656249999998,6268.653421230299,4.133736791252357,0.0,25.058147839494502,0.617645314154693,none
sys_0072,4189718,3,1,1,1.17421875,6225.553068595646,4.239484727177292,19530.55984879274,4.730622942190161,4.652419464765781,none
sys_0073,1405933,0,0,0,0.97265625,5846.861234200431,4.505558470531401,0.0,0.0,0.0,none
sys_0074,4077816,2,0,1,1.1765625,6122.822949326426,4.069400557410865,0.0,4.839676801240384,0.2093815556633353,none
sys_0075,5573941,2,0,1,1.10859375,6233.344356911386,4.274939329720151,0.0,9.404658023776086,11.07292926517824,none
sys_0076,6318780,2,0,1,1.17421875,6231.462107333422,4.2436024562322405,0.0,3.656258502318288,1.4301336617908342,none
sys_0077,1477642,1,1,0,0.9375,4172.930844910032,4.324706876669436,1186.86726447689,0.0,0.0,none
sys_0078,9415498,2,0,1,1.1953125,6500.342756396791,4.386055295998501,0.0,70.51534002643125,1.5946282152008004,none
sys_0079,3385316,0,0,0,0.94453125,4348.090100034414,3.4924106740105545,0.0,0.0,0.0,none
sys_0080,9490577,1,1,0,1.0734375,5963.084737555208,4.44895201562787,3103.8767972234723,0.0,0.0,none
sys_0081,2250396,3,1,1,1.1203125,5502.47098349651,4.281650468836014,1916.552377415664,3.141578377916418,1.2788704547823055,none
sys_0082,9136290,1,1,0,1.17421875,6258.455424448968,4.2691766734587935,5567.240488532077,0.0,0.0,none
sys_0083,1045857,1,1,0,1.021875,5852.255322366315,4.470692375204205,2975.089459736849,0.0,0.0,none
sys_0084,9033855,1,1,0,1.06640625,5996.272803064878,4.251672977872194,10811.154818606528,0.0,0.0,none
sys_0085,6636370,2,0,1,1.17421875,4736.664665106148,4.2537235150434505,0.0,2.48435689488761,17.249834430705185,none
sys_0086,8806802,1,1,0,1.044140625,5425.408822718534,4.372917946467756,2303.0707974739744,0.0,0.0,none
sys_0087,8748918,0,0,0,1.18359375,6516.3520593136345,4.195408345537566,0.0,0.0,0.0,none
sys_0088,2318327,2,0,1,1.1015625,5909.404699523194,4.37822086521588,0.0,3.0587131723411405,1.4659065927609305,none
sys_0089,1369310,1,1,0,1.021875,5874.6123594267365,4.453414487250557,9885.476517910489,0.0,0.0,none
sys_0090,4648809,3,1,1,0.903515625,5212.944104167143,4.570226806747726,1037.552824492363,14.187067779861156,1.41690760939569,none
sys_0091,2129911,0,0,0,1.18828125,6172.237723934776,4.364977442213594,0.0,0.0,0.0,none
sys_0092,6747393,0,0,0,0.9609375,5327.721140686668,4.409405291823049,0.0,0.0,0.0,none
sys_0093,7240384,2,0,1,1.156640625,6082.158612726452,4.415938328836434,0.0,13.44892505437606,1.4385777153816743,none
sys_0094,3224334,0,0,0,1.1859375,6418.668462234556,4.105339404649798,0.0,0.0,0.0,none
sys_0095,3638333,0,0,0,1.1906249999999998,6150.71484208062,4.246828354894533,0.0,0.0,0.0,none
sys_0096,6693937,2,0,1,1.1906249999999998,6169.596842475016,4.261852587700254,0.0,55.48370459433775,1.896571749361319,none
sys_0097,4435656,2,0,1,1.1953125,6490.15454088427,4.222194543275009,0.0,9.707744789479245,5.268783709693705,none
sys_0098,1990399,1,1,0,1.16953125,6286.5700427931,4.420765065469789,11734.037451049364,0.0,0.0,none
sys_0099,4606335,0,0,0,0.91875,5623.457853407208,4.486238152038177,0.0,0.0,0.0,none
sys_0100,3908873,3,1,1,0.94921875,5827.293394040745,4.503750038603087,15123.93634286734,33.04071459415714,10.764023944789765,none
sys_0101,1922188,2,0,1,0.91875,5739.593512637649,4.291354360026729,0.0,4.007538623565648,1.27369525013241,none
sys_0102,8889989,3,1,1,0.928125,5538.52902106304,4.429377473644989,2709.460622923311,41.360270165086895,2.769596187519312,none
sys_0103,5297073,3,1,1,1.08515625,6279.1643902971655,4.357600749813927,3550.368165051577,94.36518507586304,0.6608190465468475,none
sys_0104,5395038,0,0,0,1.08515625,4567.828987430129,3.4819572656360886,0.0,0.0,0.0,none
sys_0105,1929183,0,0,0,1.156640625,6073.1734617544535,4.4244826797374825,0.0,0.0,0.0,none
sys_0106,7243737,3,1,1,1.081640625,5673.19206874028,4.3060120225042215,12323.61856152416,4.239538203643196,2.0757349221179013,none
sys_0107,2379913,2,0,1,0.95859375,4151.348850564376,4.212497935526376,0.0,2.366362898760362,2.210403698981401,none
sys_0108,1333565,2,0,1,1.03125,5650.883764811239,4.322557822644995,0.0,42.03000388516515,2.367675673875372,none
sys_0109,7583388,1,1,0,1.1847656249999998,6360.881171924047,4.296402184811685,758.3554671811006,0.0,0.0,none
sys_0110,6046803,3,1,1,1.06875,6128.202641517338,4.436686770469418,635.7237383549059,3.977733363958055,1.703968393274928,none
sys_0111,1176199,2,0,1,1.1906249999999998,6121.885539582011,4.22945506934411,0.0,31.279697461619595,3.461842527673612,none
sys_0112,4950585,2,0,1,1.00078125,5873.323904468209,4.298920035108658,0.0,22.3732562596757,7.975152085171916,none
sys_0113,3364422,3,1,1,1.0171875,6010.871743682767,4.435357764684587,8558.7836745409,7.10451265163901,4.837155098851413,none
sys_0114,2398179,3,1,1,1.18359375,6551.381016814501,4.217050241524141,3250.843870781894,3.539595064124577,2.3640022227129767,none
sys_0115,8992348,2,0,1,0.96796875,5714.441885990073,4.250372188211537,0.0,82.64483670145378,7.674701530670142,none
sys_0116,9247475,1,1,0,1.1906249999999998,6152.853855925559,4.248324462663857,2424.171294958557,0.0,0.0,none
sys_0117,9511150,1,1,0,0.9046875,5400.038954574459,4.507204692506264,4277.56907353213,0.0,0.0,none
sys_0118,1191883,2,0,1,1.1906249999999998,6164.42342918705,4.257188640173678,0.0,21.03759851842976,3.6624644892557794,none
sys_0119,2273458,2,0,1,1.10859375,6237.660277738498,4.325408086365222,0.0,67.64316722384585,0.4966970235386989,none
sys_0120,8631675,3,1,1,1.1859375,6497.611792846029,4.255338756318324,2324.9048588547416,61.1418315799205,0.9735749614953813,none
sys_0121,6926739,1,1,0,1.06875,6115.376530730958,4.4489612012186095,611.9407881671806,0.0,0.0,none
sys_0122,6329430,1,1,0,1.09453125,6217.824915260847,4.192764873686765,1691.0089805438308,0.0,0.0,none
sys_0123,1215147,2,0,1,0.91875,4111.030455265401,4.201744121390904,0.0,29.06529000591695,2.925807280640904,none
sys_0124,1010757,3,1,1,1.194140625,6564.3167467678695,4.22516296704938,9275.241789920858,7.253878862241067,5.211662447673012,none
sys_0125,4280227,1,1,0,0.94453125,5773.96403921335,4.418092141398675,2104.9338458550574,0.0,0.0,none
sys_0126,8990197,3,1,1,0.928125,5403.716642119224,4.520827275006547,1932.261223754305,79.458474292542,6.09095283883668,none
sys_0127,9334290,0,0,0,1.01015625,5834.300935619697,4.394841771585857,0.0,0.0,0.0,none
sys_0128,5179907,1,1,0,1.1765625,6226.210064286565,4.235723610809428,9956.147092747871,0.0,0.0,none
sys_0129,6393274,3,1,1,1.1953125,6520.757106304323,4.35453815433664,2444.007634062031,44.62961312949686,7.73967189914506,none
sys_0130,6877206,2,0,1,1.02890625,5774.030771818258,4.49196175045562,0.0,41.84264674968473,1.7256162043963048,none
sys_0131,7575093,3,1,1,1.0640625,6299.062880275473,4.30130601745954,2022.5612943819092,2.249590763293101,1.135035825532141,none
