system_id,true_has_flare,true_has_transit,pred_has_flare,pred_has_transit,proba_flare,proba_transit,master_seed,anomaly_class,label_has_flares,label_has_transit,star_mass,star_teff,star_logg,flare_amplitude,transit_period,transit_radius_earth,drift
sys_1484,0,0,0,1,0.46768171095060107,0.5784192870213116,4743073,0,0,0,1.18828125,4421.998627619432,3.858408873422484,0.0,0.0,0.0,max
sys_0671,1,0,1,0,1.0,0.10886036299609371,1911684,1,1,0,1.08046875,5329.192195656297,4.358002359212743,633.3885446272872,0.0,0.0,none
sys_0676,0,1,0,1,0.005383456170823828,0.9140801432516761,4225073,2,0,1,1.15546875,6234.176709970716,4.376047706575268,0.0,24.39308490867417,1.6391730881613165,none
sys_0223,1,1,1,0,1.0,0.3169309900407598,8629967,3,1,1,1.166015625,6163.667340566449,4.384303666728608,3948.050344008616,6.584110847478335,0.9889191451383784,none
sys_0792,1,0,1,0,1.0,0.3110132018916816,5665263,1,1,0,1.10625,6002.652647963925,4.100070891767635,1518.127180065703,0.0,0.0,none
sys_1089,0,0,0,1,0.012202064387017965,0.5124041540568239,2179532,0,0,0,1.166015625,6180.830359652883,4.275573070037761,0.0,0.0,0.0,max
sys_1250,1,1,1,0,1.0,0.3358560066645319,6343280,3,1,1,0.94921875,5967.48095142944,4.322556982683438,12303.070627236662,17.40875397251817,2.4527278106206363,low
sys_0945,0,0,0,0,0.01515740602315831,0.44995288326951793,3721291,0,0,0,1.13671875,6280.674472535585,4.430037148897363,0.0,0.0,0.0,none
sys_0710,0,0,0,0,0.09378722040401055,0.40003766172500915,8985494,0,0,0,1.16015625,6243.175983202328,4.418057825165079,0.0,0.0,0.0,none
sys_0469,0,0,0,0,0.011426464048754076,0.4266151768155044,8187045,0,0,0,1.18828125,6186.505038872055,4.327212705291414,0.0,0.0,0.0,none
sys_0750,1,1,1,0,1.0,0.3205404655656427,4083399,3,1,1,1.17421875,6224.865368577799,4.239009683666473,10915.759560071076,3.607313107693724,1.6233623741506944,none
sys_1022,0,1,0,1,0.0010496218409887473,0.9966778900112232,1830027,2,0,1,0.90703125,5546.998374022547,4.497192490466718,0.0,6.085813150162488,1.87592890563822,low
sys_0398,0,0,0,0,0.0029662423361576083,0.3361641000805909,9428629,0,0,0,1.194140625,6557.923406817632,4.220513171256659,0.0,0.0,0.0,none
sys_1347,0,1,0,1,0.0,0.5782973649791051,3466193,2,0,1,0.98671875,5903.6697548121965,4.327218081479823,0.0,2.735365193808032,0.4362198750028466,high
sys_0401,1,0,1,0,0.9421717229067792,0.42128508120952907,2324952,1,1,0,1.147265625,6263.900752646447,4.265005131101102,813.272027012241,0.0,0.0,none
sys_1197,1,0,1,0,1.0,0.48312716888942114,1045495,1,1,0,0.94453125,4180.170245405147,4.059865557119779,3554.436497500549,0.0,0.0,low
sys_0581,0,1,0,0,0.008358005606001922,0.33680253604673266,7739146,2,0,1,1.08046875,5908.626185583712,4.340036971271042,0.0,3.744463444949673,0.3693968343412561,none
sys_1111,0,0,0,0,0.002048363559124142,0.29949103202231303,2173376,0,0,0,1.0171875,6012.357111877766,4.16509694781784,0.0,0.0,0.0,low
sys_1102,1,1,1,1,1.0,0.7100268860479135,7731775,3,1,1,1.15546875,6226.248319327428,4.387458307379484,4117.083048580619,3.884473263298968,0.884493877103342,low
sys_1380,0,1,0,1,0.009268257902176075,0.9727950380030541,9019384,2,0,1,0.91875,5535.1417194551095,4.53588547382022,0.0,2.531817094772656,1.0244193688695231,medium
sys_0266,0,1,0,0,0.022406316998875454,0.3971900454109003,5370630,2,0,1,1.00078125,5832.001576295078,4.418772105323088,0.0,37.142652510459286,0.551202124208136,none
sys_0058,1,0,1,0,0.9977162885076555,0.3837573442895708,7391939,1,1,0,1.081640625,6128.617436262274,4.298045253750503,4204.155510918881,0.0,0.0,none
sys_0803,0,1,0,1,0.00924782032683759,0.9966778900112232,5586684,2,0,1,1.194140625,6508.808957955574,4.190774746178439,0.0,24.531364788912523,2.951068751860298,none
sys_0441,0,1,0,1,0.13483577688532714,1.0,1437914,2,0,1,0.9328125,5860.033395644038,4.445480037124209,0.0,25.69592816414411,5.443566648873135,none
sys_0239,0,1,0,0,0.01002126433676349,0.3611999296617327,8280527,2,0,1,1.06171875,4753.431832573299,4.305624840652505,0.0,15.893930794844367,0.5183485999916274,none
sys_0181,0,0,0,0,0.33481484253194566,0.4677580184360003,4955761,0,0,0,1.0078125,5811.993313298231,4.5019806999647,0.0,0.0,0.0,none
sys_1455,1,1,0,1,0.46768171095060107,0.5784192870213116,8911894,3,1,1,0.91875,5702.53220557029,4.415428670647682,5440.526846980496,45.87431753290102,2.3101775464916883,low
sys_0232,1,1,1,0,1.0,0.4760733264585136,5394955,3,1,1,1.05703125,5876.462388995156,4.459133147277902,5153.257567802865,43.07565529351832,1.6022476940999557,none
sys_1269,0,0,0,0,0.003815920563047,0.33537333291424976,6300145,0,0,0,0.903515625,5423.938607345607,4.467241649413413,0.0,0.0,0.0,max
sys_0049,0,1,0,0,0.004242663367363607,0.39233474471564284,9829546,2,0,1,1.156640625,6076.623364873835,4.181065471112367,0.0,61.80695293454862,0.2756351420132459,none
sys_0812,0,1,0,0,0.005600216380153738,0.21068722151334088,8003539,2,0,1,1.0640625,6297.941373430144,4.289215580903312,0.0,8.353793759301348,0.4751020625082991,none
sys_1261,0,0,0,0,0.01571438063138913,0.45170807869702023,8172981,0,0,0,1.1953125,6482.630921253946,4.216797402626885,0.0,0.0,0.0,low
sys_0701,0,0,0,0,0.013190722185594523,0.3301837758279905,3651228,0,0,0,0.9890625,5738.31095742022,4.273485848525209,0.0,0.0,0.0,none
sys_0877,0,0,0,0,0.0196407029121975,0.29861284570629554,2316881,0,0,0,1.021875,4286.253932045731,3.9108222474004872,0.0,0.0,0.0,none
